--------- beginning of main
09-08 12:04:20.721 12753 12797 I ImportPositionTest: 5cdb937cf9af127a605b0a29725e049e_1785748322551 overflow=true multiple=true first=Rect(100, 168 - 1180, 1799) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:04:21.716 12753 12797 I ImportPositionTest: 69fd4a6e6a21c3ef3a63627daeb71424_1785748395285 overflow=true multiple=true first=Rect(100, 168 - 1180, 1799) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:04:22.762 12753 12797 I ImportPositionTest: 3a37cb86a0c5af4ae6b43325f9d24adb_1784786678735 overflow=true multiple=true first=Rect(100, 168 - 1180, 1799) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:04:23.711 12753 12797 I ImportPositionTest: 99329d0d19242e0d5b451de10f15b3d2_1784786794999 overflow=true multiple=true first=Rect(100, 168 - 1180, 1799) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:04:24.681 12753 12797 I ImportPositionTest: 66095dd231b121ebd1aef1a318c18a0b overflow=true multiple=true first=Rect(100, 168 - 1180, 1799) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:04:25.602 12753 12797 I ImportPositionTest: d36e4eb4aac1d4ed5b23495243c550be_1788849509551 overflow=true multiple=true first=Rect(228, 686 - 1308, 1184) reopened=Rect(228, 686 - 1308, 1184)
09-08 12:04:27.598 12753 12797 I ImportPositionTest: a0538925082edfc482d7fa758e5768c3 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:28.327 12753 12797 I ImportPositionTest: 5cdb937cf9af127a605b0a29725e049e_1785748322551 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:29.086 12753 12797 I ImportPositionTest: 69fd4a6e6a21c3ef3a63627daeb71424_1785748395285 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:29.806 12753 12797 I ImportPositionTest: 3a37cb86a0c5af4ae6b43325f9d24adb_1784786678735 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:30.545 12753 12797 I ImportPositionTest: 99329d0d19242e0d5b451de10f15b3d2_1784786794999 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
